,precision,recall,f1-score,support
0,0.9833318939459366,0.9904314544189283,0.9868689057421451,11496.0
1,0.9294871794871795,0.8825319537431527,0.9054011863877615,1643.0
accuracy,0.9769388842377654,0.9769388842377654,0.9769388842377654,0.9769388842377654
macro avg,0.956409536716558,0.9364817040810405,0.9461350460649534,13139.0
weighted avg,0.9765987433366256,0.9769388842377654,0.9766815655412735,13139.0
