,precision,recall,f1-score,support
0,0.9742996658956566,0.9893006263048016,0.9817428460442833,11496.0
1,0.9160982264665757,0.8174071819841753,0.8639433901576069,1643.0
accuracy,0.9678057690844052,0.9678057690844052,0.9678057690844052,0.9678057690844052
macro avg,0.9451989461811161,0.9033539041444885,0.9228431181009451,13139.0
weighted avg,0.9670217174230196,0.9678057690844052,0.9670123105376383,13139.0
